,Sentence,Language_code
48,Tangu mwaka 1980 yupo Mwamerika mmoja aliyefaulu kuandikisha Mwezi kwa jina lake kwenye ofisi ya msajili wa viwanda mjini San Francisco akiendelea kuuza hati za kumiliki maeneo mwezini.,sw
49,Kuna pia familia moja pale Ujerumani iliyorithi hati ambako mfalme wa Prussia kwenye mwaka 1756 alitoa zawadi ya Mwezi kwa mzee wao.,sw
50,Taasisi ya Sheria ya Anga-Nje (International Institute of Space Law) ilitoa tamko kuwa madai haya hayana msingi wa kisheria .,sw
51,Vyanzo Jamii:Mfumo wa jua Jamii:Kiolwa cha angani Jamii:Mwezi,sw
52,"thumbnail|Jua pamoja na madoa yake jinsi yanavyoonekana kwa darubini Jua ni kitovu cha mfumo wa Jua wenye sayari nane, sayari vibete na magimba mengi madogo.",sw
53,Dunia ni sayari ya tatu katika mfumo huu.,sw
54,Jua ni nyota iliyo karibu na Dunia yetu kuliko nyota nyingine zote.,sw
55,Umbo la Jua Umbo la Jua linakaribia kuwa tufe kamili.,sw
56,Maada yake ni utegili yaani gesi ya joto sana inayoshikamanishwa na nguvu ya graviti.,sw
57,"Kipenyo cha Jua ni takriban kilomita 1,392,684 ambayo ni mara 109 kipenyo cha Dunia yetu.",sw
58,"Masi yake ni mara 330,000 ya masi ya Dunia.",sw
59,Kwa ujazo Jua ni kubwa mara milioni moja kuliko Dunia.,sw
60,Kikemia masi ya Jua ni hasa hidrojeni (73%) na heli (25%).,sw
61,"Kiasi kinachobaki ni elementi nzito zaidi, kama vile oksijeni, kaboni, chuma na nyingine.",sw
62,"Ingawa elementi nzito ni asilimia ndogo tu za masi ya Jua, kutokana na ukubwa wa Jua, elementi nzito zinalinganamara 5,000 na masi ya DuniaMuundo wa Jua 300px|thumb|Muundo wa Jua Muundo wa Jua hufanywa na kanda tatu:Kiini ambako atomi za hidrojeni zinayeyungana kutengeneza heli kutokana na hali ya shinikizo na joto kubwa mno; Ukanda wa myuko (convection zone) ambako joto la kiini linaendesha mizunguko ya utegili inayopeleka nishati kutokana kiinikwenda angahewa ya JuaUkanda wa angahewa ya Jua.",sw
63,Sehemu yake kubwa inaitwa tabakanuru (photosphere).,sw
64,Tabakanuru ni asili ya nuru na joto tunazopokea duniani.,sw
65,Sehemu ya nje ya angahewani korona inayoonekana tu wakati wa kupatwa kwa Jua.,sw
66,Historia ya Jua Tafiti mbalimbali zinaonesha kuwa Jua lilitokea takriban miaka bilioni 4.57 iliyopita katika wingu kubwa la molekuli za hidrojeni.,sw
67,Kama nyota zote Jua linapitia ngazi mbalimbali katika maisha yake.,sw
68,Wataalamu wengi hukadiria kwamba baada ya miaka bilioni 5 ijayo akiba ya hidrojeni katika kitovu cha Jua itapungua.,sw
69,Halafu Jua litapanuka sana na kuwa jitu jekundu.,sw
70,Katika hali hii inaweza kuenea hadi njia ya obiti ya Zuhura na hakuna nafasi tena kwa uhai kwenye Dunia kutokana na joto kali.,sw
71,"Wataalamu wanatofautiana katika makadirio yao kama upanuzi huu utasababisha pia kupotea kabisa kwa sayari za Utaridi, Mirihi na Dunia zikimezwa na kuingia ndani ya Jua.",sw
72,"Baada ya miaka bilioni kadhaa ya kuwaka kama jitu jekundu, masi yake itakuwa imepungua itajikaza na kuendelea kwa muda usio mrefu kama nyota ndogo na hafifu.",sw
73,Kuna uwezekano mkubwa wa kwamba Jua litaendelea baadaye kama nyota kibete nyeupe (White Dwarf) itakayoendelea kuzimika polepole.,sw
74,"Mnururisho na upepo wa Jua Jua linatoa mwanga, joto na mnururisho mwingine wa aina mbalimbali.",sw
75,Sehemu ya mnururisho huu unatoka kwa umbo la chembe kama protoni na elektroni ambazo kwa jumla hujulikana pia kama upepo wa Jua.,sw
76,Masi ya upepo wa Jua ni takriban tani moja kwa kila sekunde.,sw
77,Asili ya nishati hii ni mchakato wa myeyungano wa kinyuklia ndani yake.,sw
78,Katika myeyungano huo hidrojeni inabadilishwa kuwa heliamu.,sw
79,Elementi nyingine zinatokea pia kwa kiasi kidogo.,sw
80,Badiliko kutoka hidrojeni kwenda heliamu inaachisha nishati inayotoka kwenye Jua kwa njia ya mnururisho.,sw
81,Nishati ya mnururisho huu ni msingi wa maisha ya mimea na viumbe hai katika dunia.,sw
82,Nuru ya Jua inabadilishwa na mimea kwa njia ya usanisinuru kuwa nishati ya kikemia inayojenga miili yao itakayokuwa lishe tena ya mimea na wanyama.,sw
83,"Mambo yanayo athiri tabia ya nchi ya afrika mashariki Jua la utosi,upepo,mwinuko,mvua,uoto,bahari na maziwa ni mambo yanayoathiri tabia ya nchi ya Afrika Mashariki.",sw
84,"Jua la utosi Dunia yetu ina mistari ya kubuni inayowezesha kutambua maeneo mbalimbali kwa urahisi,mistari hiyo ni pamoja na mstari wa Ikweta,tropiki ya kansa na tropiki ya Kaprikoni Mstari wa Ikweta unaigawa dunia katika sehemu nbili za kaskazini na kusini,mstari huu una nyuzi 0 na unapita eneo la Afrika mashariki katika nchi za Kenya na Uganda.Mstari wa Tropiki ya kansa upo upande wa kaskazini mwa Ikweta.",sw
85,Mstari wa tropiki ya Kaprikoni Upo Kusini mwa Ikweta.,sw
86,"Kipindi ambacho jua la Utosi lipo Tropiki ya kansa ,eneo La Kizio cha Kaskazini Huwa na joto,kwa kuwa hewa ikipata joto hutanuka hivyo huwa na mgandamizo mdogo wa hewa.Pepo huvuma kuelekea huko.",sw
87,UpepoPepo hizi huvuma kutoka kusini-mashariki kuanzia mwezi desemba wakati jua la utosi linapokuwa tropiki ya kaprikoni kipindi hiki kizio cha kusini huwa na joto na Pepo huvuma kutoka kusini-mashariki.Pia hali hiyo husababisha mabadiliko ya upatikanaji wa mvua na hali ya joto katika eneo la Afrika Mashariki.,sw
88,"Maeneo ya Ikweta yana tabia ya Kiikweta ya kuwa na mvua nyingi na joto jingi.Kusini na Kaskazini mwa eneo lenye tabia ya Kiikweta kuna tabia ya kitropiki yenye majira mawili makuu ya mwaka.Majira hayo ya mwaka ni masika na kiangazi.Lakini katika maeneo ya pwani majira ya mwaka hugawanyika katika sehemu nne ambazo ni vuli,kipupwe,masika na kiangazi.",sw
89,MwinukoAfrika Mashariki ina mwinuko wa meta 0 kutoka usawa wa bahari hadi kufika meta 4600.Maeneo ya pwani mwinuko wake ni kuanzia meta 0 hadi meta 500 kutoka usawa wa bahari.,sw
90,Wastani wa jotoridi ni nyuzi za sentigredi 26.Joto hupungua kadiri unavyoelekea bara.Meta 1500 Kutoka usawa wa bahari ni nyuzi za sentigredi 22 ambapo ni wastani wa joto linalopatikana katika maeneo ya Tabora.Maeneo ya mlima mrefu kama kilimanjaro wenye urefu wa meta 5895 huwa na jotoridi la chini ya nyuzi za sentigredi 0Maziwa na bahariMaeneo yaliyo kandokando ya maziwa na bahari huwa na unyevunyevu na mvua nyingi.Mara nyingi maeneo yanayozunguka bahari na maziwa mfano Ziwa Viktoria na Bahari ya Hindi yana tabia ya nchi ya aina moja.Maeneo hayo kwa kawaida hupata mvua nyingi.,sw
91,Uoto wa misituMaeneo yenye misitu hupata mvua nyingi kwani mawingu huweza kufanyika kwa urahisi.Misitu hiyo pia huifadhi unyevu usipotee ardhini kwa urahisi kwa njia ya mvukizo.,sw
92,Pepo Pepo za msimu za Kaskazini-mashariki Huleta Mvua kidogo katika eneo kubwa la kenya na kaskazini mwa Tanzania.,sw
93,Pepo huvuma sambamba na pwani.Pepo hizi pia huvuma kutoka sehemu kubwa ya nchi kavu katika nchi ya Ethiopia na Sudani kabla ya kufika eneo la Afrika Mashariki.,sw
94,"TanbihiViungo vya Nje Nasa SOHO (Solar & Heliospheric Observatory) satelliteNational Solar ObservatoryAstronomy Cast: The SunA collection of spectacular images of the Sun from various institutions (The Boston Globe)Satellite observations of solar luminositySun|Trek, an educational website about the SunThe Swedish 1-meter Solar Telescope, SSTAn animated explanation of the structure of the Sun(University of Glamorgan)Animation – The Future of the SunSolar Conveyor Belt Speeds Up – NASA – images, link to report on ScienceNASA 5-year timelapse video of the SunSun in Ultra High Definition NASA 11 January 2015Album of images and videos by Seán Doran, based on SDO imageryJamii:Astronomia Jamii:Nyota Jamii:Kiolwa cha angani",sw
95,"thumbnail|260px|Dunia yetu (bofya pembetatu) thumbnail|Dunia jinsi inavyozunguka kwenye mstari wa mhimili wake Dunia (kutoka neno la Kiarabu دنيا ; wakati mwingine pia: ardhi na kwa neno asili la Kibantu ) ni gimba la angani ambapo juu yake tunaishi sisi binadamu na viumbehai wengine wengi, tukipata mahitaji yetu, kuanzia hewa ya kutufaa na maji.",sw
96,Dunia ni mojawapo ya sayari nane zinazozunguka Jua letu katika anga-nje.,sw
97,"Kati ya sayari za mfumo wa Jua, Dunia yetu ni sayari ya tatu kutoka kwa Jua.",sw
98,Masafa baina yake na jua ni kilomita milioni 150 au kizio astronomia 1.,sw
99,"Dunia huchukua siku 365.256 kulizunguka jua, na masaa 23.9345 kuuzunguka mhimili wake na upana wake ni kilomita 12,756.",sw
100,Dunia huwa na mwezi 1.,sw
101,Umri wa dunia hukadiriwa kuwa miaka bilioni 4.5.,sw
102,Ni mahali pekee katika ulimwengu panapojulikana kuna uhai ulioaminiwa kuanza miaka bilioni 3.5 iliyopita.,sw
103,Uhai unapatikana kwa spishi milioni 10-14 za viumbe hai pamoja na wanadamu waliokadiriwa kuwa sasa bilioni 7.2.,sw
104,Umbo la duniaUmbo la dunia linafanana na tufe au mpira unaozunguka kwenye mhimili wake.,sw
105,Mhimili wa dunia ni mstari kati ya ncha zake.,sw
106,Lakini si tufe kamili.,sw
107,"Ina uvimbe kidogo kwenye sehemu ya ikweta; ilhali umbali kati ya ncha mbili ni kilomita 12,713 lakini umbali kati ya sehemu za kinyume kwenye ikweta ni km 12,756, yaani kipenyo hiki kinazidi takriban kilomita 43 kipenyo kati ya ncha na ncha.",sw
108,Tofauti hii inasababishwa na mzunguko wa dunia.,sw
109,Kani nje inasukuma sehemu za ikweta nje zaidi.,sw
110,Kwa hiyo mahali duniani palipo karibu zaidi na anga-nje si Mlima Everest kwenye Himalaya bali mlima Chimborazo nchini Ekuador.,sw
111,thumbnail|Nusutufe ya dunia yenye maji mengi Kwenye uso wake dunia huwa na tofauti kati ya nusutufe zake mbili.,sw
112,Nusu moja ina eneo kubwa la mabara yaani nchi kavu ambayo ni asilimia 47 ya sehemu hii.,sw
113,Kinyume nusutufe nyingine inafunikwa na maji ya bahari na eneo la nchi kavu ni asilimia 11 pekee za maeneo yake.,sw
114,Kwa jumla dunia ni sayari pekee katika mfumo wa jua yenye maji katika hali ya kiowevu usoni mwake.,sw
115,Bahari kuu ya dunia inashika asilimia 96.5 ya maji yote yaliyopo duniani.,sw
116,Maji ya bahari huwa na asilimia 3.5 chumvi ndani yake.,sw
117,Kwa pamoja maeneo ya maji hufunika 70.7% za uso wa dunia.,sw
118,"Nchi kavu huwa na 29.3% na sehemu kubwa ya eneo la nchi kavu ni bara 7 za Asia, Afrika, Amerika Kaskazini, Amerika Kusini, Antarktika, Ulaya na Australia.",sw
119,(Ulaya inaweza kuangaliwa pia kama sehemu ya Asia ikiwa kama rasi yake ya magharibi.,sw
120,Azimio la kutazama Australia kama bara na Greenland kama kisiwa tu ni azimio la hiari si la lazima).,sw
121,"Maeneo ya bahari kuu ya dunia kwa kawaida hugawiwa kwa bahari kubwa 3 za Pasifiki, Atlantiki na Bahari Hindi.",sw
122,"Sehemu ya chini baharini iko kwenye Mfereji wa Mariana katika Pasifiki (mita 11,034 chini ya UB).",sw
123,"Kwa wastani bahari huwa na kina cha mita 3,800.",sw
124,Muundo wa dunia- taz.,sw
125,makala Muundo wa dunia - yaliyopo katika muundo wa dunia.,sw
126,Tumeona dunia ina umbo la mviringo au tufe.,sw
127,Tufe hilo si kipande kimoja kikubwa cha mwamba thabiti.,sw
128,Dunia ina muundo ndani yake.,sw
129,"Muundo huo unafanana kiasi na kitunguu, yaani dunia yetu imefanyika kwa matabaka mbalimbali yanayofuatana kutoka nje kwenda ndani.",sw
130,Kila moja lina tabia yake.,sw
131,Kimsingi wataalamu hutofautisha matabaka matatu ambayo ni: Ganda la dunia Koti la dunia Kiini cha duniaGanda la dunia ni sehemu imara na uhai wote tunaoujua unapatikana juu yake.,sw
132,"Katikati hali ya koti na ya kiini ni ya joto kubwa sana na maada yake hupatikana katika hali ya giligili (si imara, kuyeyushwa).",sw
133,Kila ukiingia ndani dunia inazidi kuwa ya moto mpaka ukifika ndani kabisa daraja ya harara hufikia nyuzi 5000-6000 °C.,sw
134,"Matabaka hayo yanafanywa kwa elementi za kikemia ambazo ni feri (chuma) (32,1 %), oksijeni (30,1 %), silisi (15,1 %), magnesi (13,9 %), sulfuri (2,9 %), nikeli (1,8 %), kalsi (1,5 %) na alumini (1,4 %).",sw
135,"Mabaki ya 1,2 % ni viwango vidogo vya elementi nyingine.",sw
136,Elementi hizo zinapatikana kwa hali safi au katika kampaundi za elementi.,sw
137,"Vipimo vimeonyesha ya kwamba matabaka mawili ya koti na kiini huwa tena na mgawanyiko ndani yake, hivyo matabaka yafuatayo yanaweza kutofautishwa.",sw
138,Sehemu ya juu ya koti inafanana kikemia na ganda na sehemu hizo mbili zinaitwa tabakamwamba.,sw
139,Tabakamwamba ina unene wa kilomita 50 - 100.,sw
140,Tabakamwamba imekatika katika vipande vinavyoitwa mabamba la gandunia.,sw
141,Vipande hivi vinaelea juu ya giligili ya koti la ndani.,sw
142,Ndiyo sababu bara lolote si la milele; kila bamba huwa na mwendo wake na ndiyo sababu katika historia ya dunia mabara yameachana na kuungana mara kadhaa.,sw
143,Kwa mfano imepimwa ya kwamba sehemu kubwa ya Afrika ya Mashariki ina mwendo wa kuachana na bara la Afrika na dalili yake ni bonde la ufa.,sw
144,"Pale ambako mabamba yanapakana, volkeno nyingi zinapatikana na matetemeko ya ardhi hutokea.",sw
145,Ugasumaku wa dunia450px|thumbnail|Mnururisho unavyotoka kwenye jua na kukengeushwa na mistari ya nguvu ya sumaku ya ugasumaku wa dunia Dunia inazungukwa na uga sumaku yaani mistari ya nguvu ya kisumaku.,sw
146,Sababu yake ni kwamba kiini cha dunia kinafanywa na chuma chenye tabia kama sumaku kubwa.,sw
147,Tabia hiyo inasababishwa na mwendo wa mikondo ya chuma cha moto kilichoyeyuka katika kiini cha nje cha dunia.,sw
148,Mistari ya nguvu ya sumaku inatoka nje kwenye ncha ya kusini na kurudi ndani ya dunia kwenye ncha ya kaskazini.,sw
149,Tabia hiyo ni msingi wa kazi ya dira ambamo sindano ya dira huvutwa daima na ncha sumaku ya dunia na kuelekea kaskazini muda wote.,sw
150,Ugasumaku wa dunia ni kinga muhimu kwa uhai wote duniani.,sw
151,Dunia inapigwa muda wote na mnururisho kutoka jua kwa njia ya upepo wa jua.,sw
152,Mnururisho huo ni nuru pamoja miale ya hatari.,sw
153,Ugasumaku unakengeusha sehemu kubwa ya mnururisho hatari hadi unapita kando ya dunia na kutofika kwenye uso wa dunia.,sw
154,Dunia kama mahali pa uhaiDunia yetu ni sayari pekee inayojulikana mpaka sasa ambapo binadamu na viumbe vingine vinaweza kuishi.,sw
155,Wanasayansi bado wanafanya ufafiti kujua kama kuna kuna viumbe hai kwenye sayari nyingine.,sw
156,Hapa kuna sababu mbili zinazofanya viumbehai kuishi dunianiːdunia yetu ina umbali na jua unaofaa kwa maisha kwa sababu sayari zilizoko karibu zaidi na jua (k.m.,sw
157,Zuhura) zina joto kubwa mno na sayari zilizoko mbali zaidi kama Mrihi ni baridi mno.,sw
158,"dunia yetu ina angahewa yenye asilimia 78 ya naitrojini, asilimia 21 ya oksijini na asilimia 1 ya aina nyinginezo za hewa, na kwa sababu hii uhai na maisha yanamakinika katika ardhi, kinyume na sayari nyinginezo.",sw
159,"Uso wa dunia Sehemu kubwa kabisa ya dunia inafunikwa na bahari, kwani takriban asilimia 70 ya uso wake unafunikwa na maji ya bahari na kutokana na maji yote yaliyokuwepo ardhini, asilimia 97 ni maji ya bahari, na asilimia 3 ni maji matamu.",sw
160,Theluthi inayobaki ni nchi kavu kwenye mabara mbalimali na visiwa vingi.,sw
161,"Sura ya dunia ni kilomita mraba 510,000,000, ikiwa nchi kavu imechukua eneo la kilomita mraba 149,430,000 na maji yamechukua eneo la kilomita mraba 360,570,000.",sw
162,"Mabara makubwa ni Asia, Afrika, Amerika Kusini na Amerika Kaskazini, Australia na Ulaya.",sw
163,Asia na Ulaya mara nyingi hutazamiwa wakati mwingine kama bara moja ya Eurasia.,sw
164,"AngahewaHewa iliyoko juu ya ardhi vile vile ina matabaka mbalimbali, na kila tabaka lina kazi yake.",sw
165,"Hewa kwa jumla ina masafa ya kiasi cha kilomita 560 au maili 348 kuendea juu, na baada ya hapo unaingia kwenye anga-nje.",sw
166,Hewa hiyo ndiyo inayokinga viumbehai na madhara ya Jua na mnururisho wa angani ambao unaingia anga ya dunia na kuteremka chini.,sw
167,Tazama pia Muundo wa duniaMadhara ya ongezeko la joto DunianiTanbihiMarejeoCesare Emilliani: Planet Earth.,sw
182,thumb|Maji ya bomba thumb|221x221px|Tone la maji.,sw
183,Maji ni kimiminika ambacho ni kiini cha uhai wowote duniani na pia kiini cha utamaduni wa binadamu.,sw
184,Hakuna mtu anayeweza kuishi bila maji kwa sababu asilimia 50 - 65 za mwili wa mwanadamu ni maji.,sw
185,Hata miili ya mimea na wanyama kwa kiasi kikubwa ni maji.,sw
186,Pia katika dunia maji yamechukua karibu robo tatu ya eneo lake lote (71.11%).,sw
187,Kwa hiyo maji ni kitu cha msingi sana.,sw
188,Kiasi kikubwa cha maji duniani ni maji ya chumvi katika bahari; maji matamu yanayoweza kutumiwa na binadamu na kwa kilimo ni asilimia ndogo tu ya maji kwenye Dunia.,sw
189,"Maji yana matumizi mengi nyumbani na katika uchumi: nyumbani maji hutumika katika kunywa, kuogea, kuoshea vitu na vyombo mbalimbali; kiuchumi maji yanatumika viwandani, kwa mfano kupoozea au kuoshea mashine, pia maji hutumika katika usafiri, kama vile meli za mizigo, za abiria na vinginevyo.",sw
190,Katika matumizi hayo pengine watu hutumia vibaya maji na vyanzo vyake ambavyo ni muhimu vitunzwe kwa kuwa tukiharibu vyanzo hivyo twaweza kuleta hali ya jangwa katika eneo hilo.,sw
191,"Maji kikemiathumb|268x268px|Samaki baharini Kikemia maji ni kampaundi ya elementi za oksijeni na hidrojeni, ikiunganisha atomi mbili za hidrojeni na atomi moja ya oksijeni kuwa molekuli ya H2O au maji.",sw
192,Jina la maji hutumika hasa kwa hali ya kiowevu ya H2O.,sw
193,Hali mango huitwa barafu na hali ya gesi huitwa mvuke.,sw
194,Yenyewe hayana rangi wala ladha au harufu.,sw
195,Maji huwa ni kiowevu kinachopatikana kwa wingi duniani.,sw
196,"Yajaza mito, maziwa na bahari.",sw
197,Zaidi ya theluthi mbili za uso wa dunia hufunikwa na maji.,sw
198,Maji katika historia ya binadamuUpatikanaji wa maji ulikuwa jambo muhimu katika historia ya utamaduni wa kibinadamu tangu mwanzo.,sw
199,Njia za maji zilikuwa kati ya njia za kwanza za mawasiliano kwa watu; mabonde ya mito inakata milima na kurahisisha usafiri.,sw
200,Hata kwa watu kwenye ngazi ya wawindaji kando ya mto au ya ziwa ilikuwa mahali muhimu walipopata wanyama waliokuja kunywa.,sw
201,Watu wenyewe walipanga makazi yao penye maji.,sw
202,"Binadamu walipoanza kulima maji kwa mashamba yalikuwa muhimu zaidi, hasa katika maeneo pasipo mvua ya mara kwa mara.",sw
203,"Wataalamu wengi huona kwamba ugawaji wa maji ulikuwa chanzo cha hisabati, sayansi na serikali.",sw
204,"Madola makubwa ya kwanza yametambuliwa katika mabonde ya mito kwenye nchi yabisi kama mto Naili, Frati na Hidekeli au Indus.",sw
205,"Haja ya kugawa maji, kujenga mifereji, kuitunza na kusimamia shughuli hizi zilileta haja ya kujenga uwezo wa kuhesabu, kutunza kumbukumbu, kuanzisha mwandiko na kuwa na vyombo vya utawala.",sw
206,"Njia za kukusanya, kugawa na kufikisha maji kwa watumiaji zimekuwa chanzo cha miundombinu katika nchi nyingi.",sw
207,thumb|Wakina mama wakiwa wanateka majiMatumizi ya majiKwa jumla maji ni moja ya vimiminika ambavyo hutumika sana katika maisha ya wanadamu kila siku.,sw
208,Maji yanaweza yakawa yanatumika kwa ajili ya matumizi ya nyumbani pia maji yanaweza kutumika kwa ajili ya matumizi ya kiuchumi katika sehemu mbalimbali.,sw
209,"Matumizi hayo ya maji yanaweza kuwaMaji kwa ajili ya matumizi ya nyumbani; maji nyumbani huweza kutumika katika kazi tofauti; moja ya kazi hizo ni kama vile kwa ajili ya kunywea, pia maji yanaweza kutumika kwa ajili ya kufanyia usafi katika mazingira ya nyumbani, kwa mfano kwenye kusafishia nyumba; maji hutumika katika kufulia nguo na kadhalika.",sw
210,Maji hutumika katika sekta ya kilimo; maji katika kilimo yanatumika katika kumwagilia pia maji yanatumika katika kuwanyesha wanyama na kuwasafisha na kazi nyingine nyingi.,sw
211,"Hutumika katika usafirishaji; upande wa usafirishaji maji yanayotumika ni vyanzo vikubwa vya maji kama vile bahari, mito, maziwa na kadhalika.",sw
212,"Watu na bidhaa mbalimbali husafirishwa kupitia maji kutumia vyombo vya majini kama vile meli, mitumbwi na pikipiki za majini.",sw
213,"Pia katika nchi mbalimbali vyanzo vya maji kama mito vinatumika katika usafirishaji wa magogoHutumika katika uzalishaji wa umeme; maji hutumika kuzalisha umeme kutokana na maporomoko ya maji au kutoka kwenye mabwawa makubwa, kwa mfano wa bwawa la Nyumba ya Mungu, Mtera, Kidatu na Kihansi nchini Tanzania.",sw
214,Uganda umeme huzalishwa katika maporomoko ya mto wa Nile.,sw
215,Maji hutumika kama chombo cha starehe; watu wengi hupenda kufanya maji kama chombo cha starehe pale waendapo kwenye fukwe za bahari kwa ajili ya kuogelea.,sw
